staff_id,hospital_id,name,registration_number,qualifications,phone,email,experience_years,role_type
b88683d4-78c9-4f9e-8145-18690156ec69,1561406f-edb3-4119-8917-d1a9f26b1447,DR. NARESH KUMAR,REG_KM1DPSDN,MBBS MS MCh,7062212106,,12.3,RADIOLOGIST
58aad0e4-b19f-4780-ba3f-ca11d21dd161,1561406f-edb3-4119-8917-d1a9f26b1447,DR. MUKESH KUMAR,REG_BJNWI0MG,MBBS DA,8005030855,,6.1,ANAESTHETIST
a5b209fb-7f82-4209-a5ae-4b3760b14f4f,1561406f-edb3-4119-8917-d1a9f26b1447,DR. RAVINDRA NATH MAURYA,REG_PF8ZZOI3,MBBS MD DM,7945513329,,34.1,PRIMARY_CLINICIAN
5cb477c5-c35c-4fa6-a7c5-0e96477e8a22,1561406f-edb3-4119-8917-d1a9f26b1447,DR. GUDDU KUMAR,REG_EROTV2RQ,MBBS DNB,8188796275,,4.4,PRIMARY_CLINICIAN
b0b3797a-788b-4fd8-9017-baddaf63501d,1561406f-edb3-4119-8917-d1a9f26b1447,DR. RADHA DEVI,REG_BX96ASGS,MBBS MS,9765893096,,2.3,PAEDIATRICIAN
4ca9fdef-ac90-446c-8b00-8460563b10d6,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,DR. ROHIT KUMAR,REG_N6MWU2YT,MBBS,7046849581,,22.1,ANAESTHETIST
f1ff2b61-db24-4f5b-ac6d-bd02263a6191,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,DR. UMESH KUMAR,REG_0LCQFG3T,MBBS MD,7903596138,,24.1,PRIMARY_CLINICIAN
e7b465f5-b5b2-4428-aa8b-334517626b59,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,DR. VIVEK KUMAR,REG_A0686WSJ,MBBS MD,7713208535,,1.4,ANAESTHETIST
bf4048d2-7116-4f77-bd77-a2a7821d1deb,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,DR. SAROJ DEVI,REG_DTN1XWL6,MBBS MS MCh,7731784623,,24.2,RADIOLOGIST
e48c15a3-7b0b-4f14-90b4-33f87a37cafe,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,DR. DEVENDRA KUMAR,REG_3MEC3DUF,MBBS DNB,7843666111,,4.3,SURGEON
e069ac9e-1273-47c1-9f6b-e00bc5c4ad76,18aab093-844f-4b2b-81f0-34c936832cd4,DR. RAMU KAKA,REG_EZ8R7N5O,MBBS MD DM,7529039013,,14.4,RADIOLOGIST
a37514af-42ea-4eb9-ba10-e73a649489ae,18aab093-844f-4b2b-81f0-34c936832cd4,DR. DEEPAK KUMAR VERMA,REG_6EUBCA1S,MBBS DNB,9702629388,,17.8,SURGEON
1a189757-3f75-4a36-98ff-33cc925657e5,18aab093-844f-4b2b-81f0-34c936832cd4,DR. LEELA DEVI,REG_BUGE6UW5,MBBS,7831717537,,7.4,RADIOLOGIST
7a28ce17-c077-438e-9a15-1e4cfa9fb5e4,18aab093-844f-4b2b-81f0-34c936832cd4,DR. GUDDU KUMAR NISHAD,REG_ZDI5VB26,MBBS MS,7044432506,,16.2,GYNAECOLOGIST
474fa8fe-5eb5-435e-a9e2-7873c64fb4a3,6c68ced4-7801-48b9-9fd7-16063376ad14,DR. JAGDISH PRASAD,REG_7HQ2TBQX,MBBS DNB,8081096502,,22.1,ANAESTHETIST
3af84444-a7bb-44ca-9787-5e60750c1544,6c68ced4-7801-48b9-9fd7-16063376ad14,DR. SARASWATI DEVI,REG_ZZ70LU70,MBBS MD DM,7899319434,,21.4,SURGEON
7b58f62e-6da2-4711-abdc-6302c59c7ff8,6c68ced4-7801-48b9-9fd7-16063376ad14,DR. KIRAN DEVI,REG_B3YRNUBS,MBBS MD DM,7670297508,,22.1,ANAESTHETIST
4b9be2d1-ad4d-478c-9b64-c0b82100bac1,6c68ced4-7801-48b9-9fd7-16063376ad14,DR. SUMITRA DEVI,REG_KF0BMSZ8,MBBS MD,7728335085,,25.1,PAEDIATRICIAN
0bd35250-7630-4045-adf0-1d0aef82bce7,6c68ced4-7801-48b9-9fd7-16063376ad14,DR. URMILA DEVI,REG_WBT7UPQW,MBBS MS,8190552549,,21.5,SURGEON
79a2dca4-8e91-45ef-a7f2-41d62f342549,6c68ced4-7801-48b9-9fd7-16063376ad14,DR. LEELA DEVI,REG_UAONGPSC,MBBS MS MCh,8154453541,,9.3,RADIOLOGIST
21589395-da23-49f4-b995-8a8dd4035691,6c68ced4-7801-48b9-9fd7-16063376ad14,DR. SUSHILA DEVI,REG_UC126KWW,MBBS MS MCh,9831272262,,14.9,PAEDIATRICIAN
7b094ef5-63c1-45dd-bf55-d497825ecd44,6c68ced4-7801-48b9-9fd7-16063376ad14,DR. DRAUPADI DEVI,REG_KVQN1A59,MBBS MD DM,7052546862,,26.5,SURGEON
e2726905-62f4-41d9-88e2-12587db9240a,bc446fea-52b0-42fa-8703-a4ee5a3a5a90,DR. ANITA DEVI,REG_XYXNA9ZV,MBBS,9504117883,,15.3,RADIOLOGIST
ddc5adc1-258d-4bbe-b92a-591d3e5fb64c,bc446fea-52b0-42fa-8703-a4ee5a3a5a90,DR. SANTOSHI DEVI,REG_44UEQ787,MBBS MS MCh,9694717218,,22.4,ANAESTHETIST
06f6ceb3-a208-4ebc-a782-f45ea8009cd0,bc446fea-52b0-42fa-8703-a4ee5a3a5a90,DR. RANI DEVI,REG_F7N90AXH,MBBS MS MCh,7096075542,,34.4,ANAESTHETIST
6980926d-2ad4-478b-8339-798d38557265,bc446fea-52b0-42fa-8703-a4ee5a3a5a90,DR. KIRAN DEVI,REG_P9WCY0AM,MBBS DNB,7025306238,,2.8,GYNAECOLOGIST
665e12c8-1d6f-4122-9299-8ad7e2198a56,59a8efba-d5b6-4d65-a2f6-361f9965cae3,DR. JAGDISH PRASAD,REG_L7F5XYHT,MBBS MS,8089929825,,15.5,ANAESTHETIST
c68f564c-a425-4954-89da-0753ae7d58b5,59a8efba-d5b6-4d65-a2f6-361f9965cae3,DR. SURESH KUMAR GUPTA,REG_73AY21HC,MBBS MD DM,7981918745,,32.4,PRIMARY_CLINICIAN
25cf5ac3-efbb-4adb-b260-8add93a4c587,59a8efba-d5b6-4d65-a2f6-361f9965cae3,DR. ROHIT KUMAR,REG_F0NW0GSW,MBBS MD,9803333256,,13.1,ANAESTHETIST
c149c5bf-020e-4f27-b7f8-69b27b5f534a,59a8efba-d5b6-4d65-a2f6-361f9965cae3,DR. NIRMALA DEVI,REG_X9CBAL4C,MBBS,9767160162,,34.9,PRIMARY_CLINICIAN
40268efe-94ca-42ab-a710-ad7909f42414,59a8efba-d5b6-4d65-a2f6-361f9965cae3,DR. PUSHPA DEVI,REG_LHQTYVUT,MBBS MS,7844370241,,6.0,GYNAECOLOGIST
6f421cb2-0f5c-42da-beff-0b70abc7866e,59a8efba-d5b6-4d65-a2f6-361f9965cae3,DR. SUSHILA DEVI,REG_WFQ98URR,MBBS DA,7663525030,,11.4,PAEDIATRICIAN
8ecef476-cccf-47a8-acc0-e6da19a6426f,59a8efba-d5b6-4d65-a2f6-361f9965cae3,DR. UMESH KUMAR YADAV,REG_3IKYI0SB,MBBS DNB,7594530248,,23.0,GYNAECOLOGIST
4b7868ea-2926-4912-9848-823f198760d9,50f6ceec-8460-4167-8d6b-3b199d81525e,DR. SURESH KUMAR,REG_OZ2BPDKZ,MBBS MS MCh,7680641979,,11.2,GYNAECOLOGIST
e586fb7e-5571-429c-b1dc-3e1917f6cb88,50f6ceec-8460-4167-8d6b-3b199d81525e,DR. MUKESH KUMAR,REG_TK6SGXPA,MBBS MS,7509753300,,27.1,GYNAECOLOGIST
24ec9aa8-1bd8-49a9-b51d-518bdcd69ee7,50f6ceec-8460-4167-8d6b-3b199d81525e,DR. ARVIND KUMAR,REG_EZ6AVXM0,MBBS,9728547971,,31.2,PRIMARY_CLINICIAN
7d926e92-7201-489e-bc5f-466aac8c00ba,50f6ceec-8460-4167-8d6b-3b199d81525e,DR. LAXMI DEVI,REG_GGHJP4X1,MBBS DA,9672008881,,23.6,SURGEON
c6317090-fea6-4baf-a155-fb3560582bbe,50f6ceec-8460-4167-8d6b-3b199d81525e,DR. RAJU YADAV,REG_8NDZT6BA,MBBS MD,9785169404,,3.5,RADIOLOGIST
0fc9839e-56f4-4ae3-8fa6-f2aeb1e7b2e7,50f6ceec-8460-4167-8d6b-3b199d81525e,DR. RAJEEV KUMAR KUMAR,REG_XHQT57WV,MBBS MS MCh,7884036117,,21.0,SURGEON
ce7f37d7-c77f-44f3-8592-271b6994e1a0,50f6ceec-8460-4167-8d6b-3b199d81525e,DR. HEMANT KUMAR,REG_HVJ095UI,MBBS MS MCh,7531498583,,32.9,RADIOLOGIST
85cf7a30-b64b-44c4-8191-f39b0fa9c820,50f6ceec-8460-4167-8d6b-3b199d81525e,DR. BRIJESH KUMAR,REG_DZTGB473,MBBS,7818209410,,6.8,RADIOLOGIST
e0bac12f-b910-4ca4-aff1-159b17623739,87b65ca7-bf10-41ed-8229-7524f6b3a30d,DR. RAJESH KUMAR,REG_T6CTQQB0,MBBS DNB,7558805914,,24.5,PAEDIATRICIAN
ffbb9e50-be23-4467-84ee-f29e31147724,87b65ca7-bf10-41ed-8229-7524f6b3a30d,DR. MANJU DEVI,REG_ZHQLC28S,MBBS DNB,9772178848,,17.4,GYNAECOLOGIST
a3cbf31e-63c6-4587-96f0-78e6ab46d699,87b65ca7-bf10-41ed-8229-7524f6b3a30d,DR. URMILA DEVI,REG_GIDBM6FX,MBBS,9496168815,,11.7,ANAESTHETIST
6dd1fcec-b517-4ae4-8f39-dd26307bce13,87b65ca7-bf10-41ed-8229-7524f6b3a30d,DR. ANITA DEVI,REG_D3I77MV1,MBBS MS MCh,7691948416,,21.7,PRIMARY_CLINICIAN
6bc4cadd-c2f8-4ebe-9d29-f2712320c9f6,87b65ca7-bf10-41ed-8229-7524f6b3a30d,DR. REKHA DEVI,REG_JIK8987U,MBBS,9893368079,,11.9,PRIMARY_CLINICIAN
d0bb97d3-3bc1-4275-8dc9-6191526ecb38,87b65ca7-bf10-41ed-8229-7524f6b3a30d,DR. DEEPAK KUMAR,REG_KWUT66JA,MBBS DA,7038093028,,26.5,PRIMARY_CLINICIAN
64a78407-db37-40e1-a04c-4c18369aaca9,87b65ca7-bf10-41ed-8229-7524f6b3a30d,DR. ANIL KUMAR,REG_KIXCJXV9,MBBS MS,9850083082,,2.8,ANAESTHETIST
e37225b6-a6ba-4559-93d9-e695842a7e38,87b65ca7-bf10-41ed-8229-7524f6b3a30d,DR. RAVINDRA NATH,REG_8PZ3E4XL,MBBS DA,9483003529,,7.3,SURGEON
b9bb2be0-152f-4eed-b73e-600728a406a8,d31b4920-2059-47f5-83ab-ae5df3b24e6b,DR. NIRMALA DEVI,REG_ECVWBO0J,MBBS DNB,8139814814,,4.2,PAEDIATRICIAN
32f3f1ec-97de-4ea1-8710-7b0ced1fc3af,d31b4920-2059-47f5-83ab-ae5df3b24e6b,DR. RAMU KAKA NISHAD,REG_NFGPFVR9,MBBS DNB,7502065044,,24.6,RADIOLOGIST
a2b5c68a-eb1d-454a-9050-19aafc508c24,d31b4920-2059-47f5-83ab-ae5df3b24e6b,DR. LAKHAN LAL,REG_BTEGX32Y,MBBS DA,7080733916,,21.7,PAEDIATRICIAN
034f9a32-672d-478b-a503-7f2826cb2e73,2621e5d6-3fdd-4caa-b8a8-df10690bbe49,DR. SAROJ DEVI,REG_OTTUOUHK,MBBS MS MCh,9494406519,,18.9,PAEDIATRICIAN
37016b46-76fd-410c-86aa-db045b46aeeb,2621e5d6-3fdd-4caa-b8a8-df10690bbe49,DR. SUSHIL KUMAR,REG_7GMM4L8S,MBBS MD DM,9785190978,,26.3,SURGEON
cdcccbc7-7371-4e4f-b144-d73cb643ec10,2621e5d6-3fdd-4caa-b8a8-df10690bbe49,DR. KUSUM DEVI,REG_PHX2K5ZU,MBBS MS,7551769214,,30.5,ANAESTHETIST
766c8240-6efd-41ba-87ef-18c109ed56fd,2621e5d6-3fdd-4caa-b8a8-df10690bbe49,DR. PRIYA KUMARI,REG_X02DOPOI,MBBS,9686643259,,26.9,PAEDIATRICIAN
90b82d1b-47dc-4d87-9342-872c596871e3,2621e5d6-3fdd-4caa-b8a8-df10690bbe49,DR. NARESH KUMAR,REG_PP094L1H,MBBS MS,7666033489,,34.2,ANAESTHETIST
2b3dc837-0614-4518-ac04-c0874e81f464,95f235be-b1f5-44dd-bd72-e4ff493eed15,DR. CHAMELI DEVI,REG_78SWXXA1,MBBS DNB,9544484664,,12.9,PAEDIATRICIAN
1e9823ad-e032-48af-856c-6ace4f7c4b27,95f235be-b1f5-44dd-bd72-e4ff493eed15,DR. PRIYA KUMARI,REG_8HT2CUJW,MBBS MS MCh,7740317846,,28.1,RADIOLOGIST
c5048a33-aa36-48f3-ad22-3df194a96347,95f235be-b1f5-44dd-bd72-e4ff493eed15,DR. RAM PRASAD BIND,REG_FIAMJ3H9,MBBS MS,7669572753,,23.7,SURGEON
c165ad1e-ff3d-4e74-8a9c-63dbeee372c9,95f235be-b1f5-44dd-bd72-e4ff493eed15,DR. RAM PRASAD SHUKLA,REG_YC8AWF6N,MBBS DNB,9553607930,,27.7,GYNAECOLOGIST
77a572fa-ef12-4ae3-af07-d878e166b993,95f235be-b1f5-44dd-bd72-e4ff493eed15,DR. DRAUPADI DEVI,REG_S4SM9BU7,MBBS MD DM,7054060073,,28.1,GYNAECOLOGIST
7fc48891-4fb6-47e7-8e42-3467758e2030,95f235be-b1f5-44dd-bd72-e4ff493eed15,DR. SANTOSH KUMAR GAUTAM,REG_B0YFKEXX,MBBS,7994654344,,5.7,GYNAECOLOGIST
617258b9-8517-4b11-a09d-2336a4bdc726,24267565-7dcb-4f3b-b6cd-1c0f075379c0,DR. RAMU KAKA,REG_5NXVBIUD,MBBS MS,9862385342,,7.8,GYNAECOLOGIST
9c4f3606-c024-458e-99ed-305171a61f14,24267565-7dcb-4f3b-b6cd-1c0f075379c0,DR. RAJEEV KUMAR,REG_KHVQCSIQ,MBBS,9797934413,,31.9,PRIMARY_CLINICIAN
77691430-0202-4eb8-a5d3-b095e77c6f96,c278f54d-0390-47b6-bda2-b51aec673c31,DR. GEETA DEVI,REG_GKK2C7T3,MBBS DA,9636869950,,21.0,ANAESTHETIST
646134a6-8069-4b58-8c4d-bd81e6706cfa,c278f54d-0390-47b6-bda2-b51aec673c31,DR. SEEMA DEVI,REG_DFRHFH0W,MBBS DA,9767282102,,22.5,PRIMARY_CLINICIAN
166ed76a-e1e3-4679-9f51-cf0dce0e7765,c278f54d-0390-47b6-bda2-b51aec673c31,DR. DEEPAK KUMAR,REG_KGU4NJ56,MBBS MD DM,9458703692,,14.0,PAEDIATRICIAN
4d71e915-85b5-48c6-93cb-686ef8b6a43f,c278f54d-0390-47b6-bda2-b51aec673c31,DR. URMILA DEVI,REG_MO0YQH8I,MBBS MS MCh,7053612147,,5.2,GYNAECOLOGIST
e00c90df-d4d6-472e-93f0-9f5becd0464c,c278f54d-0390-47b6-bda2-b51aec673c31,DR. JAGDISH PRASAD,REG_YFOSOAJG,MBBS MS MCh,8105609144,,20.1,ANAESTHETIST
8cee9af7-8b26-4673-9c54-4f4368a4cba2,c278f54d-0390-47b6-bda2-b51aec673c31,DR. LAKHAN LAL,REG_S1S9DE5E,MBBS MS MCh,7690408687,,12.9,ANAESTHETIST
10cec46d-0b8e-4cb6-a55e-74804633cdfb,c278f54d-0390-47b6-bda2-b51aec673c31,DR. LAXMI DEVI,REG_JCA6WCJO,MBBS MD DM,9608120185,,11.3,PRIMARY_CLINICIAN
22d99f73-35c1-4442-984c-ff9a36099a1e,e7843a89-5bc2-4ede-aeb9-fd6e59d9481b,DR. RAJU YADAV,REG_HRICABBA,MBBS MD DM,9542978443,,28.8,PRIMARY_CLINICIAN
fa0b26fe-b101-4530-92dc-d47087882b50,e7843a89-5bc2-4ede-aeb9-fd6e59d9481b,DR. UMESH KUMAR,REG_2EIU5PV3,MBBS MS MCh,9444033191,,3.6,RADIOLOGIST
3efb274f-5aa8-41b4-b411-261dcb117ca0,e7843a89-5bc2-4ede-aeb9-fd6e59d9481b,DR. URMILA DEVI,REG_GMV4UT7S,MBBS MD DM,9408824580,,3.0,ANAESTHETIST
21547f74-6ed6-4375-8c89-45e63ae4b749,e7843a89-5bc2-4ede-aeb9-fd6e59d9481b,DR. RAMESH CHANDRA,REG_XH9EU3A4,MBBS MD DM,9449893973,,17.8,PAEDIATRICIAN
ba3b6792-e554-460f-8619-ecbc0c7920ba,e7843a89-5bc2-4ede-aeb9-fd6e59d9481b,DR. SUNITA DEVI,REG_AKXKVIPM,MBBS DA,7585927369,,32.3,SURGEON
e94c3315-8438-4e87-bdaa-bc81cbe5d1fb,e7843a89-5bc2-4ede-aeb9-fd6e59d9481b,DR. SAVITRI DEVI,REG_HD3BU4ZO,MBBS DNB,7004713684,,12.9,PRIMARY_CLINICIAN
67387a80-9a71-49fd-996b-d6803763aa5d,9878f087-5008-4e9a-91db-118ffc6d2f1e,DR. KALAWATI DEVI,REG_5SCF7720,MBBS MD DM,7957681060,,21.3,RADIOLOGIST
da755e1e-34a4-4019-974a-d269360539a3,9878f087-5008-4e9a-91db-118ffc6d2f1e,DR. RAJU YADAV,REG_6P5A8C1K,MBBS MD DM,7758927300,,23.5,GYNAECOLOGIST
5da7b0f1-ea21-4743-a4ac-92563c4d7ef2,9878f087-5008-4e9a-91db-118ffc6d2f1e,DR. AMIT KUMAR,REG_M0T33TF2,MBBS MD DM,7838907219,,16.6,PRIMARY_CLINICIAN
b8c84f60-44de-4dbb-8b9a-8e4afbba37a3,9878f087-5008-4e9a-91db-118ffc6d2f1e,DR. PRIYA KUMARI,REG_XI9ISA5N,MBBS MS MCh,7521032377,,22.7,PAEDIATRICIAN
a64a7041-0cdf-4642-9ad8-2b7867ac9c20,9878f087-5008-4e9a-91db-118ffc6d2f1e,DR. MUKESH KUMAR,REG_SV7G6E7O,MBBS MS,9615265396,,13.4,SURGEON
59498aa3-2063-41d7-bcba-9bf3914f277f,9878f087-5008-4e9a-91db-118ffc6d2f1e,DR. SANTOSH KUMAR,REG_YIKAR5JJ,MBBS,9826648181,,3.8,SURGEON
50944acf-d9fa-4523-9149-ce6985a2b8f5,9878f087-5008-4e9a-91db-118ffc6d2f1e,DR. LAKHAN LAL,REG_9OCLVBWA,MBBS DA,8157878835,,17.2,RADIOLOGIST
be12979c-63f2-4071-b71f-91ed58fa61cb,485db366-f036-4f19-ad67-c51b84a49903,DR. GEETA DEVI,REG_M0628458,MBBS MS,9790063742,,32.9,GYNAECOLOGIST
edfc02f8-0157-4a10-a318-1084e84f2a1a,485db366-f036-4f19-ad67-c51b84a49903,DR. DEEPAK KUMAR,REG_GZFM3JRP,MBBS MS MCh,9524876618,,24.8,GYNAECOLOGIST
dea96b3b-7c39-4b5c-a696-2298f9b26aa5,485db366-f036-4f19-ad67-c51b84a49903,DR. MEENA DEVI,REG_4CC0M8QC,MBBS,9576688571,,5.2,RADIOLOGIST
1aa7ef18-f0dd-48a0-9f85-4694595ead77,973c72b6-a78b-45a8-b525-868353af84ea,DR. SEEMA DEVI,REG_3SZVBPEE,MBBS DA,8160652640,,31.9,GYNAECOLOGIST
946415ca-5e37-4e16-87e8-10a45f0c5235,973c72b6-a78b-45a8-b525-868353af84ea,DR. RAVINDRA NATH,REG_1UY2X3YN,MBBS MS MCh,7891149618,,5.2,RADIOLOGIST
334aa32b-52e0-4b84-b443-67e9518eafc7,973c72b6-a78b-45a8-b525-868353af84ea,DR. SHANTI DEVI,REG_3TQKHE8S,MBBS MS,7925352962,,2.6,RADIOLOGIST
8ba4bfca-d026-4e3f-b821-1f881e403b05,058fe129-afd7-4499-9973-cdcad110e8a3,DR. KUSUM DEVI,REG_9BSPTP1C,MBBS MD,8055561261,,31.0,ANAESTHETIST
3c849b47-000d-4a18-b1bd-fe6e10761125,058fe129-afd7-4499-9973-cdcad110e8a3,DR. SHYAM LAL,REG_YJM4ZMWU,MBBS MS MCh,9781938739,,17.8,RADIOLOGIST
05f6d984-29fc-4956-bdd0-b5520ae4fdd0,058fe129-afd7-4499-9973-cdcad110e8a3,DR. CHAMELI DEVI,REG_S0RARKLZ,MBBS MS MCh,8133241697,,31.1,PAEDIATRICIAN
3c6fac4a-482a-4449-80dc-d9ba06024b16,058fe129-afd7-4499-9973-cdcad110e8a3,DR. KALAWATI DEVI,REG_B3SDHIX9,MBBS,9528197109,,28.7,PAEDIATRICIAN
f9e4d6ad-2d10-4fa5-9e4e-1105f58aead5,058fe129-afd7-4499-9973-cdcad110e8a3,DR. MUNNI DEVI,REG_425BR70V,MBBS MS MCh,7914292490,,2.0,SURGEON
059fc1fc-5b09-498c-ba3c-2bf9c3b5ac7c,7517a147-10ac-4547-a6e5-398e0aec8db6,DR. RAM PRASAD,REG_71GOTJDK,MBBS DA,8171459443,,30.3,PRIMARY_CLINICIAN
9240720a-f75c-4b08-849b-988545fb1337,7517a147-10ac-4547-a6e5-398e0aec8db6,DR. SHIV KUMAR,REG_RGLOK67H,MBBS MD DM,8151897801,,32.7,SURGEON
2ee59597-9ec6-4738-b532-3d99d22b3090,7517a147-10ac-4547-a6e5-398e0aec8db6,DR. SUSHILA DEVI,REG_PTAD4KIH,MBBS DNB,9476078521,,21.5,SURGEON
b2d9164d-04b8-4de0-b3a1-7e3c494e6537,7517a147-10ac-4547-a6e5-398e0aec8db6,DR. RAKESH KUMAR,REG_9BXN185P,MBBS DNB,8054416214,,23.9,RADIOLOGIST
3950d24c-6cd8-4ca0-a2b1-98ef6f1840c7,7517a147-10ac-4547-a6e5-398e0aec8db6,DR. RANI DEVI,REG_JH78XYIH,MBBS DA,9744072391,,16.7,RADIOLOGIST
3ab2f5be-7fb1-4566-888d-fff883d261e7,7517a147-10ac-4547-a6e5-398e0aec8db6,DR. GEETA DEVI,REG_4N17INJU,MBBS MS MCh,9715238686,,33.4,ANAESTHETIST
e9346fc3-574d-4a07-9231-d766a176f38f,7517a147-10ac-4547-a6e5-398e0aec8db6,DR. MEENA DEVI,REG_B6QJVUSZ,MBBS DA,8041526575,,34.4,RADIOLOGIST
c71d8f64-37b1-4814-80f0-691c32be4219,be9655cd-9695-463d-a93c-4ee77f4c34e6,DR. RAMESH CHANDRA,REG_IDD5P7X6,MBBS DNB,9704012486,,5.4,PRIMARY_CLINICIAN
fd9259b5-9dcb-4663-bb9c-e6be4c37d437,be9655cd-9695-463d-a93c-4ee77f4c34e6,DR. ANITA DEVI,REG_MNTUULKH,MBBS MD DM,7923844836,,18.3,SURGEON
e9ff69b4-a21a-4de2-b43d-2d1ac513fac9,be9655cd-9695-463d-a93c-4ee77f4c34e6,DR. RAVI SHANKAR,REG_KY2YE4I5,MBBS MD,9510801103,,26.7,ANAESTHETIST
a011e5af-031d-4aaa-967d-bcfa72f536ee,be9655cd-9695-463d-a93c-4ee77f4c34e6,DR. PHOOL KUMARI,REG_W818GFR0,MBBS MS MCh,9788652912,,21.8,SURGEON
3ad7a663-1447-4839-9b8f-4d75f3a6efd6,be9655cd-9695-463d-a93c-4ee77f4c34e6,DR. MEENA DEVI,REG_ZFVABJO8,MBBS MS MCh,9442183991,,13.3,SURGEON
a3d4f923-e5ee-4897-8de2-e50e2e41e01a,be9655cd-9695-463d-a93c-4ee77f4c34e6,DR. SHEELA DEVI,REG_84DYNITH,MBBS,9842067047,,24.0,PRIMARY_CLINICIAN
a10e4d06-0266-4c65-84ef-8cd0c1519baf,91f99c76-03d3-4e2a-82f0-e10b815f00b9,DR. JAGDISH PRASAD,REG_C1J3BK3U,MBBS MD DM,8077134061,,26.1,SURGEON
36d3c70e-04bb-4750-bade-456061e6f04a,91f99c76-03d3-4e2a-82f0-e10b815f00b9,DR. HEMANT KUMAR,REG_IVKUIM6X,MBBS DNB,7000823549,,13.3,ANAESTHETIST
cea1d682-fc8f-4570-83e4-0704abefeab0,91f99c76-03d3-4e2a-82f0-e10b815f00b9,DR. SUNITA DEVI,REG_1X11E9L0,MBBS MD DM,9736155173,,20.6,RADIOLOGIST
b07cfe2f-1617-454f-a3e5-b5a46fc905a8,20439481-0474-4d67-b71e-4556ab11eec7,DR. RAVI SHANKAR,REG_CE6DDYYZ,MBBS DA,8135882278,,34.1,PRIMARY_CLINICIAN
41cfec1d-dc93-4265-bfda-bd3cdffbf838,20439481-0474-4d67-b71e-4556ab11eec7,DR. SUSHILA DEVI,REG_HA8IM1DE,MBBS MS MCh,8164168151,,18.6,RADIOLOGIST
7c1f893a-c163-4b5f-bb3a-8e95ee467364,20439481-0474-4d67-b71e-4556ab11eec7,DR. PUSHPA DEVI,REG_5PLI6TND,MBBS DNB,9773730498,,15.3,PAEDIATRICIAN
7647e106-9685-4ede-9dcb-f0265a383e2d,20439481-0474-4d67-b71e-4556ab11eec7,DR. RADHA DEVI,REG_TI4QAMQZ,MBBS MS MCh,9675554720,,6.6,SURGEON
